t_sensor,accel_mag,label_true,t,motion_proxy
0.0,10.08772491345606,tap,0.0,
0.005,10.212770291307285,tap,0.005,10.504983521725038
0.01,10.38483246221819,tap,0.01,10.504983521725038
0.015,10.617358478299202,tap,0.015,10.504983521725038
0.02,10.925919334950883,tap,0.02,10.504983521725038
0.025,11.327890567972744,tap,0.025,10.504983521725038
0.03,11.841839457518784,tap,0.03,10.504983521725038
0.035,12.486576035345667,tap,0.035,10.504983521725038
0.04,13.279852775324397,tap,0.04,12.852204377938875
0.045,14.236737595028137,tap,0.045,12.852204377938875
0.05,15.367734260065156,tap,0.05,12.852204377938875
0.055,16.676778576905498,tap,0.055,12.852204377938875
0.06,18.159290606536267,tap,0.06,12.852204377938875
0.065,19.800503562808473,tap,0.065,12.852204377938875
0.07,21.574309682969627,tap,0.07,12.852204377938875
0.075,23.442854051980664,tap,0.075,20.583502061494496
0.08,25.357064133564,tap,0.08,20.583502061494496
0.085,27.2582253846656,tap,0.085,20.583502061494496
0.09,29.080607359399806,tap,0.09,20.583502061494496
0.095,30.755021504120357,tap,0.095,20.583502061494496
0.1,32.213067437057404,tap,0.1,20.583502061494496
0.105,33.39171734329004,tap,0.105,32.55957748576228
0.11,34.237816026011984,tap,0.11,32.55957748576228
0.115,34.71205105905702,tap,0.115,32.55957748576228
0.12,34.791980539762505,tap,0.12,32.55957748576228
0.125,34.47379374591431,tap,0.125,32.55957748576228
0.13,33.77261233203351,tap,0.13,32.55957748576228
0.135,32.721298912174,tap,0.135,32.55957748576228
0.14,31.36790375537599,tap,0.14,32.292824764423784
0.145,29.77202585384967,tap,0.145,32.292824764423784
0.15,28.00047193074193,tap,0.15,32.292824764423784
0.155,26.122652582835823,tap,0.155,32.292824764423784
0.16,24.206153712685072,tap,0.16,32.292824764423784
0.165,22.31286756543686,tap,0.165,32.292824764423784
0.17,20.495972559337325,tap,0.17,32.292824764423784
0.175,18.79793133613613,tap,0.175,21.60710920426058
0.18,17.249550651590273,tap,0.18,21.60710920426058
0.185,15.870032199062452,tap,0.185,21.60710920426058
0.19,14.66785364209381,tap,0.19,21.60710920426058
0.195,13.642261960976596,tap,0.195,21.60710920426058
0.2,12.7851387073618,tap,0.2,21.60710920426058
0.205,12.083005653358375,tap,0.205,12.788758666860051
0.21,11.518972527191613,tap,0.21,12.788758666860051
0.215,11.074476941885038,tap,0.215,12.788758666860051
0.22,10.730720928503647,tap,0.22,12.788758666860051
0.225,10.469760610607668,tap,0.225,12.788758666860051
0.23,10.2752496120688,tap,0.23,12.788758666860051
0.235,10.13286942746888,tap,0.235,12.788758666860051
0.24,10.030500254571152,tap,0.24,9.773829437157575
0.245,9.958194653122105,tap,0.245,9.773829437157575
0.25,9.908016060137353,tap,0.25,9.773829437157575
0.255,9.873797434743134,tap,0.255,9.773829437157575
0.26,9.85086490172466,tap,0.26,9.773829437157575
0.265,9.835759591345523,tap,0.265,9.773829437157575
0.27,9.825979704608244,tap,0.27,9.773829437157575
0.275,9.81975528119834,tap,0.275,9.831928441787817
0.28,9.815860735286112,tap,0.28,9.831928441787817
0.285,9.813465019531314,tap,0.285,9.831928441787817
0.29,9.81201604645752,tap,0.29,9.831928441787817
0.295,9.81115434772721,tap,0.295,9.831928441787817
0.3,9.810650450177292,tap,0.3,9.831928441787817
0.305,9.810360688826052,tap,0.305,9.706481557787288
0.31,9.810196830596194,tap,0.31,9.706481557787288
0.315,9.810105704577646,tap,0.315,9.706481557787288
0.32,9.810055864542996,tap,0.32,9.706481557787288
0.325,9.810029054939344,tap,0.325,9.706481557787288
0.33,9.810014871164018,tap,0.33,9.706481557787288
0.335,9.810007490507132,tap,0.335,9.706481557787288
0.34,9.81000371294698,tap,0.34,9.34602307214734
0.345,9.81000181120472,tap,0.345,9.34602307214734
0.35,9.810000869476008,tap,0.35,9.34602307214734
0.355,9.810000410760743,tap,0.355,9.34602307214734
0.36,9.81000019096841,tap,0.36,9.34602307214734
0.365,9.810000087372629,tap,0.365,9.34602307214734
0.37,9.810000039339654,tap,0.37,9.34602307214734
0.375,9.810000017431186,tap,0.375,10.035747639421636
0.38,9.810000007600893,tap,0.38,10.035747639421636
0.385,9.810000003261695,tap,0.385,10.035747639421636
0.39,9.810000001377412,tap,0.39,10.035747639421636
0.395,9.810000000572437,tap,0.395,10.035747639421636
0.4,9.945520527247773,idle,0.4,10.035747639421636
0.405,9.824101844664131,idle,0.405,9.681532189922171
0.41,9.69847511259693,idle,0.41,9.681532189922171
0.415,9.671741193561235,idle,0.415,9.681532189922171
0.42,9.7413411261499,idle,0.42,9.681532189922171
0.425,9.843029268520509,idle,0.425,9.681532189922171
0.43,9.65855727246919,idle,0.43,9.681532189922171
0.435,9.778623663769244,idle,0.435,9.681532189922171
0.44,9.78611624851283,idle,0.44,9.582817883974892
0.445,9.891126837702872,idle,0.445,9.582817883974892
0.45,9.842198868375952,idle,0.45,9.582817883974892
0.455,9.863305906355988,idle,0.455,9.582817883974892
0.46,9.71192570858725,idle,0.46,9.582817883974892
0.465,9.790557954946085,idle,0.465,9.582817883974892
0.47,9.9275963205092,idle,0.47,9.582817883974892
0.475,10.034014671783115,idle,0.475,10.224216455099487
0.48,9.621140170184384,idle,0.48,10.224216455099487
0.485,10.03708856621086,idle,0.485,10.224216455099487
0.49,10.011881313567349,idle,0.49,10.224216455099487
0.495,9.927196710105065,idle,0.495,10.224216455099487
0.5,9.849668344549396,idle,0.5,10.224216455099487
0.505,9.762911577819535,idle,0.505,9.591499999994411
0.51,10.028703102530544,idle,0.51,9.591499999994411
0.515,10.104038747467497,idle,0.515,9.591499999994411
0.52,10.08024523047992,idle,0.52,9.591499999994411
0.525,10.007265564710156,idle,0.525,9.591499999994411
0.53,9.863607061598843,idle,0.53,9.591499999994411
0.535,9.628752205157674,idle,0.535,9.591499999994411
0.54,9.809331880031989,idle,0.54,10.267302270299384
0.545,9.90847124026145,idle,0.545,10.267302270299384
0.55,9.616745780437569,idle,0.55,10.267302270299384
0.555,9.8692683090273,idle,0.555,10.267302270299384
0.56,9.874479554223337,idle,0.56,10.267302270299384
0.5650000000000001,9.91440640859443,idle,0.5650000000000001,10.267302270299384
0.5700000000000001,9.632382304986422,idle,0.5700000000000001,10.008967302444086
0.575,9.710744614194144,idle,0.575,10.008967302444086
0.5800000000000001,9.744534712928518,idle,0.5800000000000001,10.008967302444086
0.585,9.634529713834072,idle,0.585,10.008967302444086
0.5900000000000001,10.07090518156952,idle,0.5900000000000001,10.008967302444086
0.595,9.735613390733675,idle,0.595,10.008967302444086
0.6000000000000001,9.85934544441903,idle,0.6000000000000001,10.008967302444086
0.605,9.771214118178912,idle,0.605,9.526489617856996
0.61,10.04752093182032,idle,0.61,9.526489617856996
0.615,10.008054148062277,idle,0.615,9.526489617856996
0.62,9.905002893423738,idle,0.62,9.526489617856996
0.625,9.479473517903005,idle,0.625,9.526489617856996
0.63,9.817804346138985,idle,0.63,9.526489617856996
0.635,9.91255292861648,idle,0.635,9.526489617856996
0.64,9.960594236376323,idle,0.64,9.300196239261895
0.645,9.71731394329386,idle,0.645,9.300196239261895
0.65,10.083301704499249,idle,0.65,9.300196239261895
0.655,9.611935354498009,idle,0.655,9.300196239261895
0.66,9.710770796727717,idle,0.66,9.300196239261895
0.665,9.950257498217104,idle,0.665,9.300196239261895
0.67,9.817358192073796,idle,0.67,9.9384896370301
